Zip Code	City	COUNTY
32901	Melbourne	BREVARD
32902	Melbourne	BREVARD
32903	Indialantic	BREVARD
32904	Melbourne	BREVARD
32905	Palm Bay	BREVARD
32906	Palm Bay	BREVARD
32907	Palm Bay	BREVARD
32908	Palm Bay	BREVARD
32909	Palm Bay	BREVARD
32910	Palm Bay	BREVARD
32911	Palm Bay	BREVARD
32912	Melbourne	BREVARD
32919	Melbourne	BREVARD
32920	Cape Canaveral	BREVARD
32922	Cocoa	BREVARD
32923	Cocoa	BREVARD
32924	Cocoa	BREVARD
32925	Patrick Afb	BREVARD
32926	Cocoa	BREVARD
32927	Cocoa	BREVARD
32931	Cocoa Beach	BREVARD
32932	Cocoa Beach	BREVARD
32934	Melbourne	BREVARD
32935	Melbourne	BREVARD
32936	Melbourne	BREVARD
32937	Satellite Beach	BREVARD
32940	Melbourne	BREVARD
32941	Melbourne	BREVARD
32949	Grant	BREVARD
32950	Malabar	BREVARD
32951	Melbourne Beach	BREVARD
32952	Merritt Island	BREVARD
32953	Merritt Island	BREVARD
32954	Merritt Island	BREVARD
32955	Rockledge	BREVARD
32956	Rockledge	BREVARD
32959	Sharpes	BREVARD
32976	Sebastian	BREVARD
33004	Dania	BROWARD
33008	Hallandale	BROWARD
33009	Hallandale	BROWARD
33019	Hollywood	BROWARD
33020	Hollywood	BROWARD
33021	Hollywood	BROWARD
33022	Hollywood	BROWARD
33023	Hollywood	BROWARD
33024	Hollywood	BROWARD
33025	Hollywood	BROWARD
33026	Hollywood	BROWARD
33027	Hollywood	BROWARD
33028	Hollywood	BROWARD
33029	Hollywood	BROWARD
33060	Pompano Beach	BROWARD
33061	Pompano Beach	BROWARD
33062	Pompano Beach	BROWARD
33063	Pompano Beach	BROWARD
33064	Pompano Beach	BROWARD
33065	Pompano Beach	BROWARD
33066	Pompano Beach	BROWARD
33067	Pompano Beach	BROWARD
33068	Pompano Beach	BROWARD
33069	Pompano Beach	BROWARD
33071	Pompano Beach	BROWARD
33072	Pompano Beach	BROWARD
33073	Pompano Beach	BROWARD
33074	Pompano Beach	BROWARD
33075	Pompano Beach	BROWARD
33076	Pompano Beach	BROWARD
33077	Pompano Beach	BROWARD
33081	Hollywood	BROWARD
33082	Pembroke Pines	BROWARD
33083	Hollywood	BROWARD
33084	Hollywood	BROWARD
33093	Coconut Creek	BROWARD
33093	Pompano Beach	BROWARD
33097	Pompano Beach	BROWARD
33301	Fort Lauderdale	BROWARD
33302	Fort Lauderdale	BROWARD
33303	Fort Lauderdale	BROWARD
33304	Fort Lauderdale	BROWARD
33305	Fort Lauderdale	BROWARD
33306	Fort Lauderdale	BROWARD
33307	Fort Lauderdale	BROWARD
33308	Fort Lauderdale	BROWARD
33309	Fort Lauderdale	BROWARD
33310	Fort Lauderdale	BROWARD
33311	Fort Lauderdale	BROWARD
33312	Fort Lauderdale	BROWARD
33313	Fort Lauderdale	BROWARD
33314	Fort Lauderdale	BROWARD
33315	Fort Lauderdale	BROWARD
33316	Fort Lauderdale	BROWARD
33317	Fort Lauderdale	BROWARD
33318	Fort Lauderdale	BROWARD
33319	Fort Lauderdale	BROWARD
33320	Fort Lauderdale	BROWARD
33321	Fort Lauderdale	BROWARD
33322	Fort Lauderdale	BROWARD
33323	Fort Lauderdale	BROWARD
33324	Fort Lauderdale	BROWARD
33325	Fort Lauderdale	BROWARD
33326	Fort Lauderdale	BROWARD
33327	Fort Lauderdale	BROWARD
33328	Fort Lauderdale	BROWARD
33329	Fort Lauderdale	BROWARD
33330	Fort Lauderdale	BROWARD
33331	Fort Lauderdale	BROWARD
33332	Fort Lauderdale	BROWARD
33334	Fort Lauderdale	BROWARD
33335	Fort Lauderdale	BROWARD
33336	Fort Lauderdale	BROWARD
33337	Fort Lauderdale	BROWARD
33338	Fort Lauderdale	BROWARD
33339	Fort Lauderdale	BROWARD
33340	Fort Lauderdale	BROWARD
33345	Fort Lauderdale	BROWARD
33346	Fort Lauderdale	BROWARD
33348	Fort Lauderdale	BROWARD
33349	Fort Lauderdale	BROWARD
33351	Fort Lauderdale	BROWARD
33355	Fort Lauderdale	BROWARD
33359	Fort Lauderdale	BROWARD
33388	Fort Lauderdale	BROWARD
33394	Fort Lauderdale	BROWARD
33441	Deerfield Beach	BROWARD
33442	Deerfield Beach	BROWARD
33443	Deerfield Beach	BROWARD
32421	Altha	CALHOUN
32424	Blountstown	CALHOUN
32430	Clarksville	CALHOUN
32449	Wewahitchka	CALHOUN
33927	El Jobean	CHARLOTTE
33938	Murdock	CHARLOTTE
33946	Placida	CHARLOTTE
33947	Rotonda West	CHARLOTTE
33948	Port Charlotte	CHARLOTTE
33949	Port Charlotte	CHARLOTTE
33950	Punta Gorda	CHARLOTTE
33951	Punta Gorda	CHARLOTTE
33952	Port Charlotte	CHARLOTTE
33953	Port Charlotte	CHARLOTTE
33954	Port Charlotte	CHARLOTTE
33955	Punta Gorda	CHARLOTTE
33980	Port Charlotte	CHARLOTTE
33981	Port Charlotte	CHARLOTTE
33982	Punta Gorda	CHARLOTTE
33983	Punta Gorda	CHARLOTTE
34224	Englewood	CHARLOTTE
34423	Crystal River	CITRUS
34428	Crystal River	CITRUS
34429	Crystal River	CITRUS
34433	Dunnellon	CITRUS
34434	Dunnellon	CITRUS
34436	Floral City	CITRUS
34442	Hernando	CITRUS
34445	Holder	CITRUS
34446	Homosassa	CITRUS
34447	Homosassa Springs	CITRUS
34448	Homosassa	CITRUS
34450	Inverness	CITRUS
34451	Inverness	CITRUS
34452	Inverness	CITRUS
34453	Inverness	CITRUS
34460	Lecanto	CITRUS
34461	Lecanto	CITRUS
34464	Beverly Hills	CITRUS
34465	Beverly Hills	CITRUS
34487	Homosassa	CITRUS
32003	Orange Park	CLAY
32006	Fleming Island	CLAY
32030	Doctors Inlet	CLAY
32043	Green Cove Springs	CLAY
32050	Middleburg	CLAY
32065	Orange Park	CLAY
32067	Orange Park	CLAY
32068	Middleburg	CLAY
32073	Orange Park	CLAY
32079	Penney Farms	CLAY
32160	Lake Geneva	CLAY
32656	Keystone Heights	CLAY
34101	Naples	COLLIER
34102	Naples	COLLIER
34103	Naples	COLLIER
34104	Naples	COLLIER
34105	Naples	COLLIER
34106	Naples	COLLIER
34107	Vanderbilt Beach	COLLIER
34108	Naples	COLLIER
34109	Naples	COLLIER
34110	Naples	COLLIER
34112	Naples	COLLIER
34113	Naples	COLLIER
34114	Naples	COLLIER
34116	Naples	COLLIER
34117	Naples	COLLIER
34119	Naples	COLLIER
34120	Naples	COLLIER
34137	Copeland	COLLIER
34138	Chokoloskee	COLLIER
34139	Everglades City	COLLIER
34140	Goodland	COLLIER
34142	Immokalee	COLLIER
34143	Immokalee	COLLIER
34145	Marco Island	COLLIER
34146	Marco Island	COLLIER
32024	Lake City	COLUMBIA
32025	Lake City	COLUMBIA
32038	Fort White	COLUMBIA
32055	Lake City	COLUMBIA
32056	Lake City	COLUMBIA
32061	Lulu	COLUMBIA
34265	Arcadia	DESOTO
34266	Arcadia	DESOTO
34267	Fort Ogden	DESOTO
34268	Nocatee	DESOTO
34269	Arcadia	DESOTO
32628	Cross City	DIXIE
32648	Horseshoe Beach	DIXIE
32680	Old Town	DIXIE
32692	Suwannee	DIXIE
32099	Jacksonville	DUVAL
32201	Jacksonville	DUVAL
32202	Jacksonville	DUVAL
32203	Jacksonville	DUVAL
32204	Jacksonville	DUVAL
32205	Jacksonville	DUVAL
32206	Jacksonville	DUVAL
32207	Jacksonville	DUVAL
32208	Jacksonville	DUVAL
32209	Jacksonville	DUVAL
32210	Jacksonville	DUVAL
32211	Jacksonville	DUVAL
32212	Jacksonville	DUVAL
32214	Jacksonville	DUVAL
32215	Jacksonville	DUVAL
32216	Jacksonville	DUVAL
32217	Jacksonville	DUVAL
32218	Jacksonville	DUVAL
32219	Jacksonville	DUVAL
32220	Jacksonville	DUVAL
32221	Jacksonville	DUVAL
32222	Jacksonville	DUVAL
32223	Jacksonville	DUVAL
32224	Jacksonville	DUVAL
32225	Jacksonville	DUVAL
32226	Jacksonville	DUVAL
32227	Jacksonville	DUVAL
32228	Jacksonville	DUVAL
32229	Jacksonville	DUVAL
32230	Jacksonville	DUVAL
32231	Jacksonville	DUVAL
32232	Jacksonville	DUVAL
32233	Atlantic Beach	DUVAL
32234	Jacksonville	DUVAL
32235	Jacksonville	DUVAL
32236	Jacksonville	DUVAL
32237	Jacksonville	DUVAL
32238	Jacksonville	DUVAL
32239	Jacksonville	DUVAL
32240	Jacksonville Beach	DUVAL
32241	Jacksonville	DUVAL
32244	Jacksonville	DUVAL
32245	Jacksonville	DUVAL
32246	Jacksonville	DUVAL
32247	Jacksonville	DUVAL
32250	Jacksonville Beach	DUVAL
32254	Jacksonville	DUVAL
32255	Jacksonville	DUVAL
32256	Jacksonville	DUVAL
32257	Jacksonville	DUVAL
32258	Jacksonville	DUVAL
32266	Neptune Beach	DUVAL
32267	Jacksonville	DUVAL
32277	Jacksonville	DUVAL
32290	Jacksonville	DUVAL
32501	Pensacola	ESCAMBIA
32502	Pensacola	ESCAMBIA
32503	Pensacola	ESCAMBIA
32504	Pensacola	ESCAMBIA
32505	Pensacola	ESCAMBIA
32506	Pensacola	ESCAMBIA
32507	Pensacola	ESCAMBIA
32508	Pensacola	ESCAMBIA
32509	Pensacola	ESCAMBIA
32511	Pensacola	ESCAMBIA
32512	Pensacola	ESCAMBIA
32513	Pensacola	ESCAMBIA
32514	Pensacola	ESCAMBIA
32516	Pensacola	ESCAMBIA
32520	Pensacola	ESCAMBIA
32521	Pensacola	ESCAMBIA
32522	Pensacola	ESCAMBIA
32523	Pensacola	ESCAMBIA
32524	Pensacola	ESCAMBIA
32526	Pensacola	ESCAMBIA
32533	Cantonment	ESCAMBIA
32534	Pensacola	ESCAMBIA
32535	Century	ESCAMBIA
32559	Pensacola	ESCAMBIA
32560	Gonzalez	ESCAMBIA
32568	Mc David	ESCAMBIA
32577	Molino	ESCAMBIA
32590	Pensacola	ESCAMBIA
32591	Pensacola	ESCAMBIA
32592	Pensacola	ESCAMBIA
32110	Bunnell	FLAGLER
32135	Palm Coast	FLAGLER
32136	Flagler Beach	FLAGLER
32137	Palm Coast	FLAGLER
32142	Palm Coast	FLAGLER
32164	Palm Coast	FLAGLER
32320	Apalachicola	FRANKLIN
32322	Carrabelle	FRANKLIN
32323	Lanark Village	FRANKLIN
32328	Eastpoint	FRANKLIN
32329	Apalachicola	FRANKLIN
32324	Chattahoochee	GADSDEN
32330	Greensboro	GADSDEN
32332	Gretna	GADSDEN
32333	Havana	GADSDEN
32343	Midway	GADSDEN
32351	Quincy	GADSDEN
32352	Quincy	GADSDEN
32353	Quincy	GADSDEN
32619	Bell	GILCHRIST
32693	Trenton	GILCHRIST
33471	Moore Haven	GLADES
33944	Palmdale	GLADES
32456	Port Saint Joe	GULF
32457	Port Saint Joe	GULF
32465	Wewahitchka	GULF
32052	Jasper	HAMILTON
32053	Jennings	HAMILTON
32096	White Springs	HAMILTON
33834	Bowling Green	HARDEE
33865	Ona	HARDEE
33873	Wauchula	HARDEE
33890	Zolfo Springs	HARDEE
33440	Clewiston	HENDRY
33930	Felda	HENDRY
33935	Labelle	HENDRY
33975	Labelle	HENDRY
34601	Brooksville	HERNANDO
34602	Brooksville	HERNANDO
34603	Brooksville	HERNANDO
34604	Brooksville	HERNANDO
34605	Brooksville	HERNANDO
34606	Spring Hill	HERNANDO
34607	Spring Hill	HERNANDO
34608	Spring Hill	HERNANDO
34609	Spring Hill	HERNANDO
34611	Spring Hill	HERNANDO
34613	Brooksville	HERNANDO
34614	Brooksville	HERNANDO
34636	Istachatta	HERNANDO
34661	Nobleton	HERNANDO
33825	Avon Park	HIGHLANDS
33826	Avon Park	HIGHLANDS
33852	Lake Placid	HIGHLANDS
33857	Lorida	HIGHLANDS
33862	Lake Placid	HIGHLANDS
33870	Sebring	HIGHLANDS
33871	Sebring	HIGHLANDS
33872	Sebring	HIGHLANDS
33875	Sebring	HIGHLANDS
33876	Sebring	HIGHLANDS
33960	Venus	HIGHLANDS
33503	Balm	HILLSBOROUGH
33508	Brandon	HILLSBOROUGH
33509	Brandon	HILLSBOROUGH
33510	Brandon	HILLSBOROUGH
33511	Brandon	HILLSBOROUGH
33527	Dover	HILLSBOROUGH
33530	Durant	HILLSBOROUGH
33534	Gibsonton	HILLSBOROUGH
33547	Lithia	HILLSBOROUGH
33548	Lutz	HILLSBOROUGH
33549	Lutz	HILLSBOROUGH
33550	Mango	HILLSBOROUGH
33556	Odessa	HILLSBOROUGH
33558	Lutz	HILLSBOROUGH
33559	Lutz	HILLSBOROUGH
33563	Plant City	HILLSBOROUGH
33564	Plant City	HILLSBOROUGH
33565	Plant City	HILLSBOROUGH
33566	Plant City	HILLSBOROUGH
33567	Plant City	HILLSBOROUGH
33568	Riverview	HILLSBOROUGH
33569	Riverview	HILLSBOROUGH
33570	Ruskin	HILLSBOROUGH
33571	Sun City Center	HILLSBOROUGH
33572	Apollo Beach	HILLSBOROUGH
33573	Sun City Center	HILLSBOROUGH
33575	Ruskin	HILLSBOROUGH
33583	Seffner	HILLSBOROUGH
33584	Seffner	HILLSBOROUGH
33586	Sun City	HILLSBOROUGH
33587	Sydney	HILLSBOROUGH
33592	Thonotosassa	HILLSBOROUGH
33594	Valrico	HILLSBOROUGH
33595	Valrico	HILLSBOROUGH
33598	Wimauma	HILLSBOROUGH
33601	Tampa	HILLSBOROUGH
33602	Tampa	HILLSBOROUGH
33603	Tampa	HILLSBOROUGH
33604	Tampa	HILLSBOROUGH
33605	Tampa	HILLSBOROUGH
33606	Tampa	HILLSBOROUGH
33607	Tampa	HILLSBOROUGH
33608	Tampa	HILLSBOROUGH
33609	Tampa	HILLSBOROUGH
33610	Tampa	HILLSBOROUGH
33611	Tampa	HILLSBOROUGH
33612	Tampa	HILLSBOROUGH
33613	Tampa	HILLSBOROUGH
33614	Tampa	HILLSBOROUGH
33615	Tampa	HILLSBOROUGH
33616	Tampa	HILLSBOROUGH
33617	Tampa	HILLSBOROUGH
33618	Tampa	HILLSBOROUGH
33619	Tampa	HILLSBOROUGH
33620	Tampa	HILLSBOROUGH
33621	Tampa	HILLSBOROUGH
33622	Tampa	HILLSBOROUGH
33623	Tampa	HILLSBOROUGH
33624	Tampa	HILLSBOROUGH
33625	Tampa	HILLSBOROUGH
33626	Tampa	HILLSBOROUGH
33629	Tampa	HILLSBOROUGH
33630	Tampa	HILLSBOROUGH
33631	Tampa	HILLSBOROUGH
33633	Tampa	HILLSBOROUGH
33634	Tampa	HILLSBOROUGH
33635	Tampa	HILLSBOROUGH
33637	Tampa	HILLSBOROUGH
33647	Tampa	HILLSBOROUGH
33650	Tampa	HILLSBOROUGH
33651	Tampa	HILLSBOROUGH
33655	Tampa	HILLSBOROUGH
33660	Tampa	HILLSBOROUGH
33661	Tampa	HILLSBOROUGH
33662	Tampa	HILLSBOROUGH
33663	Tampa	HILLSBOROUGH
33664	Tampa	HILLSBOROUGH
33672	Tampa	HILLSBOROUGH
33673	Tampa	HILLSBOROUGH
33674	Tampa	HILLSBOROUGH
33675	Tampa	HILLSBOROUGH
33677	Tampa	HILLSBOROUGH
33679	Tampa	HILLSBOROUGH
33680	Tampa	HILLSBOROUGH
33681	Tampa	HILLSBOROUGH
33682	Tampa	HILLSBOROUGH
33684	Tampa	HILLSBOROUGH
33685	Tampa	HILLSBOROUGH
33686	Tampa	HILLSBOROUGH
33687	Tampa	HILLSBOROUGH
33688	Tampa	HILLSBOROUGH
33689	Tampa	HILLSBOROUGH
33690	Tampa	HILLSBOROUGH
33694	Tampa	HILLSBOROUGH
33697	Tampa	HILLSBOROUGH
32425	Bonifay	HOLMES
32452	Noma	HOLMES
32464	Westville	HOLMES
32948	Fellsmere	INDIAN RIVER
32957	Roseland	INDIAN RIVER
32958	Sebastian	INDIAN RIVER
32960	Vero Beach	INDIAN RIVER
32961	Vero Beach	INDIAN RIVER
32962	Vero Beach	INDIAN RIVER
32963	Vero Beach	INDIAN RIVER
32964	Vero Beach	INDIAN RIVER
32965	Vero Beach	INDIAN RIVER
32966	Vero Beach	INDIAN RIVER
32967	Vero Beach	INDIAN RIVER
32968	Vero Beach	INDIAN RIVER
32969	Vero Beach	INDIAN RIVER
32970	Wabasso	INDIAN RIVER
32971	Winter Beach	INDIAN RIVER
32978	Sebastian	INDIAN RIVER
32420	Alford	JACKSON
32423	Bascom	JACKSON
32426	Campbellton	JACKSON
32431	Cottondale	JACKSON
32432	Cypress	JACKSON
32440	Graceville	JACKSON
32442	Grand Ridge	JACKSON
32443	Greenwood	JACKSON
32445	Malone	JACKSON
32446	Marianna	JACKSON
32447	Marianna	JACKSON
32448	Marianna	JACKSON
32460	Sneads	JACKSON
32336	Lamont	JEFFERSON
32337	Lloyd	JEFFERSON
32344	Monticello	JEFFERSON
32345	Monticello	JEFFERSON
32361	Wacissa	JEFFERSON
32013	Day	LAFAYETTE
32066	Mayo	LAFAYETTE
32102	Astor	LAKE
32158	Lady Lake	LAKE
32159	Lady Lake	LAKE
32702	Altoona	LAKE
32726	Eustis	LAKE
32727	Eustis	LAKE
32735	Grand Island	LAKE
32736	Eustis	LAKE
32756	Mount Dora	LAKE
32757	Mount Dora	LAKE
32767	Paisley	LAKE
32776	Sorrento	LAKE
32778	Tavares	LAKE
32784	Umatilla	LAKE
34705	Astatula	LAKE
34711	Clermont	LAKE
34712	Clermont	LAKE
34713	Clermont	LAKE
34714	Clermont	LAKE
34715	Clermont	LAKE
34729	Ferndale	LAKE
34731	Fruitland Park	LAKE
34736	Groveland	LAKE
34737	Howey In The Hills	LAKE
34748	Leesburg	LAKE
34749	Leesburg	LAKE
34753	Mascotte	LAKE
34755	Minneola	LAKE
34756	Montverde	LAKE
34762	Okahumpka	LAKE
34788	Leesburg	LAKE
34789	Leesburg	LAKE
34797	Yalaha	LAKE
33901	Fort Myers	LEE
33902	Fort Myers	LEE
33903	North Fort Myers	LEE
33904	Cape Coral	LEE
33905	Fort Myers	LEE
33906	Fort Myers	LEE
33907	Fort Myers	LEE
33908	Fort Myers	LEE
33909	Cape Coral	LEE
33910	Cape Coral	LEE
33911	Fort Myers	LEE
33912	Fort Myers	LEE
33913	Fort Myers	LEE
33914	Cape Coral	LEE
33915	Cape Coral	LEE
33916	Fort Myers	LEE
33917	North Fort Myers	LEE
33918	North Fort Myers	LEE
33919	Fort Myers	LEE
33920	Alva	LEE
33921	Boca Grande	LEE
33922	Bokeelia	LEE
33924	Captiva	LEE
33928	Estero	LEE
33931	Fort Myers Beach	LEE
33932	Fort Myers Beach	LEE
33936	Lehigh Acres	LEE
33945	Pineland	LEE
33956	Saint James City	LEE
33957	Sanibel	LEE
33965	Fort Myers	LEE
33966	Fort Myers	LEE
33967	Fort Myers	LEE
33970	Lehigh Acres	LEE
33971	Lehigh Acres	LEE
33972	Lehigh Acres	LEE
33990	Cape Coral	LEE
33991	Cape Coral	LEE
33993	Cape Coral	LEE
33994	Fort Myers	LEE
34133	Bonita Springs	LEE
34134	Bonita Springs	LEE
34135	Bonita Springs	LEE
34136	Bonita Springs	LEE
32301	Tallahassee	LEON
32302	Tallahassee	LEON
32303	Tallahassee	LEON
32304	Tallahassee	LEON
32305	Tallahassee	LEON
32306	Tallahassee	LEON
32307	Tallahassee	LEON
32308	Tallahassee	LEON
32309	Tallahassee	LEON
32310	Tallahassee	LEON
32311	Tallahassee	LEON
32312	Tallahassee	LEON
32313	Tallahassee	LEON
32314	Tallahassee	LEON
32315	Tallahassee	LEON
32316	Tallahassee	LEON
32317	Tallahassee	LEON
32318	Tallahassee	LEON
32362	Woodville	LEON
32395	Tallahassee	LEON
32399	Tallahassee	LEON
32621	Bronson	LEVY
32625	Cedar Key	LEVY
32626	Chiefland	LEVY
32639	Gulf Hammock	LEVY
32644	Chiefland	LEVY
32668	Morriston	LEVY
32683	Otter Creek	LEVY
32696	Williston	LEVY
34449	Inglis	LEVY
34498	Yankeetown	LEVY
32321	Bristol	LIBERTY
32334	Hosford	LIBERTY
32335	Sumatra	LIBERTY
32360	Telogia	LIBERTY
32059	Lee	MADISON
32331	Greenville	MADISON
32340	Madison	MADISON
32341	Madison	MADISON
32350	Pinetta	MADISON
34201	Bradenton	MANATEE
34202	Bradenton	MANATEE
34203	Bradenton	MANATEE
34204	Bradenton	MANATEE
34205	Bradenton	MANATEE
34206	Bradenton	MANATEE
34207	Bradenton	MANATEE
34208	Bradenton	MANATEE
34209	Bradenton	MANATEE
34210	Bradenton	MANATEE
34211	Bradenton	MANATEE
34212	Bradenton	MANATEE
34215	Cortez	MANATEE
34216	Anna Maria	MANATEE
34217	Bradenton Beach	MANATEE
34218	Holmes Beach	MANATEE
34219	Parrish	MANATEE
34220	Palmetto	MANATEE
34221	Palmetto	MANATEE
34222	Ellenton	MANATEE
34228	Longboat Key	MANATEE
34243	Sarasota	MANATEE
34250	Terra Ceia	MANATEE
34251	Myakka City	MANATEE
34260	Sarasota	MANATEE
34264	Oneco	MANATEE
34270	Tallevast	MANATEE
34280	Bradenton	MANATEE
34281	Bradenton	MANATEE
34282	Bradenton	MANATEE
32111	Candler	MARION
32113	Citra	MARION
32133	Eastlake Weir	MARION
32134	Fort Mc Coy	MARION
32179	Ocklawaha	MARION
32182	Orange Springs	MARION
32183	Ocklawaha	MARION
32192	Sparr	MARION
32195	Weirsdale	MARION
32617	Anthony	MARION
32634	Fairfield	MARION
32663	Lowell	MARION
32664	Mc Intosh	MARION
32681	Orange Lake	MARION
32686	Reddick	MARION
34420	Belleview	MARION
34421	Belleview	MARION
34430	Dunnellon	MARION
34431	Dunnellon	MARION
34432	Dunnellon	MARION
34470	Ocala	MARION
34471	Ocala	MARION
34472	Ocala	MARION
34473	Ocala	MARION
34474	Ocala	MARION
34475	Ocala	MARION
34476	Ocala	MARION
34477	Ocala	MARION
34478	Ocala	MARION
34479	Ocala	MARION
34480	Ocala	MARION
34481	Ocala	MARION
34482	Ocala	MARION
34483	Ocala	MARION
34488	Silver Springs	MARION
34489	Silver Springs	MARION
34491	Summerfield	MARION
34492	Summerfield	MARION
33455	Hobe Sound	MARTIN
33475	Hobe Sound	MARTIN
34956	Indiantown	MARTIN
34957	Jensen Beach	MARTIN
34958	Jensen Beach	MARTIN
34990	Palm City	MARTIN
34991	Palm City	MARTIN
34992	Port Salerno	MARTIN
34994	Stuart	MARTIN
34995	Stuart	MARTIN
34996	Stuart	MARTIN
34997	Stuart	MARTIN
33002	Hialeah	MIAMI-DADE
33010	Hialeah	MIAMI-DADE
33011	Hialeah	MIAMI-DADE
33012	Hialeah	MIAMI-DADE
33013	Hialeah	MIAMI-DADE
33014	Hialeah	MIAMI-DADE
33015	Hialeah	MIAMI-DADE
33016	Hialeah	MIAMI-DADE
33017	Hialeah	MIAMI-DADE
33018	Hialeah	MIAMI-DADE
33030	Homestead	MIAMI-DADE
33031	Homestead	MIAMI-DADE
33032	Homestead	MIAMI-DADE
33033	Homestead	MIAMI-DADE
33034	Homestead	MIAMI-DADE
33035	Homestead	MIAMI-DADE
33039	Homestead	MIAMI-DADE
33054	Opa Locka	MIAMI-DADE
33055	Opa Locka	MIAMI-DADE
33056	Opa Locka	MIAMI-DADE
33090	Homestead	MIAMI-DADE
33092	Homestead	MIAMI-DADE
33101	Miami	MIAMI-DADE
33102	Miami	MIAMI-DADE
33107	Miami	MIAMI-DADE
33109	Miami Beach	MIAMI-DADE
33110	Miami	MIAMI-DADE
33111	Miami	MIAMI-DADE
33112	Miami	MIAMI-DADE
33114	Miami	MIAMI-DADE
33116	Miami	MIAMI-DADE
33119	Miami Beach	MIAMI-DADE
33121	Miami	MIAMI-DADE
33122	Miami	MIAMI-DADE
33124	Miami	MIAMI-DADE
33125	Miami	MIAMI-DADE
33126	Miami	MIAMI-DADE
33127	Miami	MIAMI-DADE
33128	Miami	MIAMI-DADE
33129	Miami	MIAMI-DADE
33130	Miami	MIAMI-DADE
33131	Miami	MIAMI-DADE
33132	Miami	MIAMI-DADE
33133	Miami	MIAMI-DADE
33134	Miami	MIAMI-DADE
33135	Miami	MIAMI-DADE
33136	Miami	MIAMI-DADE
33137	Miami	MIAMI-DADE
33138	Miami	MIAMI-DADE
33139	Miami Beach	MIAMI-DADE
33140	Miami Beach	MIAMI-DADE
33141	Miami Beach	MIAMI-DADE
33142	Miami	MIAMI-DADE
33143	Miami	MIAMI-DADE
33144	Miami	MIAMI-DADE
33145	Miami	MIAMI-DADE
33146	Miami	MIAMI-DADE
33147	Miami	MIAMI-DADE
33148	Miami	MIAMI-DADE
33149	Key Biscayne	MIAMI-DADE
33150	Miami	MIAMI-DADE
33151	Miami	MIAMI-DADE
33152	Miami	MIAMI-DADE
33153	Miami	MIAMI-DADE
33154	Miami Beach	MIAMI-DADE
33155	Miami	MIAMI-DADE
33156	Miami	MIAMI-DADE
33157	Miami	MIAMI-DADE
33158	Miami	MIAMI-DADE
33159	Miami	MIAMI-DADE
33160	North Miami Beach	MIAMI-DADE
33161	Miami	MIAMI-DADE
33162	Miami	MIAMI-DADE
33163	Miami	MIAMI-DADE
33164	Miami	MIAMI-DADE
33165	Miami	MIAMI-DADE
33166	Miami	MIAMI-DADE
33167	Miami	MIAMI-DADE
33168	Miami	MIAMI-DADE
33169	Miami	MIAMI-DADE
33170	Miami	MIAMI-DADE
33172	Miami	MIAMI-DADE
33173	Miami	MIAMI-DADE
33174	Miami	MIAMI-DADE
33175	Miami	MIAMI-DADE
33176	Miami	MIAMI-DADE
33177	Miami	MIAMI-DADE
33178	Miami	MIAMI-DADE
33179	Miami	MIAMI-DADE
33180	Miami	MIAMI-DADE
33181	Miami	MIAMI-DADE
33182	Miami	MIAMI-DADE
33183	Miami	MIAMI-DADE
33184	Miami	MIAMI-DADE
33185	Miami	MIAMI-DADE
33186	Miami	MIAMI-DADE
